,time,text,user_followers,user_verified,likes,retweets
38,"12/30/2022, 11:03:00",Stop and think for a moment about this statement. It’s true. From here to that destination is unimaginable violence… https://t.co/tul8M4tPqg,36193,1,4911,1829
39,"01/02/2023, 21:51:03","A reminder that law enforcement *responds* to crime, but a living wage, food and water security, accessible healthc… https://t.co/jL72bknSl9",348619,1,6190,1753
40,"01/02/2023, 13:00:31","When you need to pay for your rent and food

#meowed #TheMeowedClub https://t.co/K9viB0fV5M",295995,1,32200,3151
41,"12/30/2022, 00:20:13","40.2% (!) of Coca-Cola's U.S. revenue comes from SNAP benefits (food stamps)

What an evil use of taxpayer money. 

Here's the math:",27096,0,10695,2319
42,"01/02/2023, 15:06:08",Soda companies are deeply embedded in the USDA - so much so that the agency carries discredited talking points like… https://t.co/F8THNfxGr3,27096,0,5103,641
43,"12/28/2022, 16:36:36","IF you encounter a cougar:
- NEVER approach or offer it food. You are NOT a Disney Princess.
- Face the cougar. Tal… https://t.co/VbM3mXO2ml",121207,1,9701,1075
44,"01/01/2023, 18:31:00","Food isn't always abundant for wolves, but when it is, they can eat up to 20 lbs in a single setting! 
What they do… https://t.co/SjN29nxYKm",506941,1,3989,536
45,"12/29/2022, 07:58:51","Versatile and widely available, rice is easy to digest, gut-friendly, and a powerhouse of energy. Only with timely… https://t.co/IQsyjeMyK5",77874,1,510,285
46,"12/29/2022, 12:24:02","Quiz of the Day!

Whoever answered correctly first would get a shout-out at the end of the week.

#quiz #youth… https://t.co/9nvkmWQVb9",74678,1,118,86
47,"12/31/2022, 20:50:53","Recipe ➡️ https://t.co/lBZRxLUzWI
Our old-fashioned banana pudding is the perfect dessert anytime and will quickly… https://t.co/wtKo7a0nRV",32429,0,373,87
48,"12/29/2022, 13:43:26",Everyone’s attention is focussed (and quite rightly so) on the cost and availability of food at the moment - timely… https://t.co/kR0vpEUEwh,32272,0,186,48
49,"12/31/2022, 10:02:54","Recipe ➡️ https://t.co/uxFNiuHd29
What could be better than this #bacon and cabbage #recipe made easy and delicious… https://t.co/Ts9DwIsdfm",32429,0,381,65
50,"12/30/2022, 22:09:24","Recipe ➡️ https://t.co/ihdjtogR7I
This is our favorite recipe for hoppin John or black-eyed peas in the crockpot.… https://t.co/V3sNrJ0MZl",32429,0,192,38
51,"12/29/2022, 14:52:13",#Diet is like a bank account. Good #food choices are good investments: https://t.co/sfarWA81NM #HealthyLiving… https://t.co/lTkWIknX06,319444,0,171,48
52,"12/29/2022, 17:00:00",Striving to enjoy 5-7 servings of fruit and vegetables a day is a great goal for now and in the new year. Every bit… https://t.co/0lIvzuDurI,129534,0,50,23
53,"12/29/2022, 14:16:51","Amazing Interactive Menu at a restaurant 

via @alvinfoo &amp; @AlbertoEMachado  

#CES2023 #CES #VR #AR #IoT #hologram… https://t.co/RTmpyuHwP5",256568,1,53,28
54,"12/30/2022, 15:51:22",The Power of #Nutrition: Learning to See #Food as #Medicine: https://t.co/xAhbEi1kr4 #healthyeating #organic #diet https://t.co/5AGHRqyjSB,319444,0,89,25
55,"12/29/2022, 20:01:55",Chinese style of hamburger #Food #life #ThursdayThoughts https://t.co/8GuMY1y0PU,128555,1,93,18
56,"12/29/2022, 07:58:51","Versatile and widely available, rice is easy to digest, gut-friendly, and a powerhouse of energy. Only with timely… https://t.co/IQsyjeMyK5",77874,1,510,285
57,"12/29/2022, 12:24:02","Quiz of the Day!

Whoever answered correctly first would get a shout-out at the end of the week.

#quiz #youth… https://t.co/9nvkmWQVb9",74678,1,118,86
58,"12/31/2022, 20:50:53","Recipe ➡️ https://t.co/lBZRxLUzWI
Our old-fashioned banana pudding is the perfect dessert anytime and will quickly… https://t.co/wtKo7a0nRV",32429,0,373,87
59,"01/01/2023, 22:52:43","Recipe ➡️ https://t.co/OCyG0RNfgH
Cheesesteak pasta skillet is easy, delicious and the perfect comfort food for a b… https://t.co/FtR77OmAnM",32429,0,749,104
60,"01/01/2023, 08:52:07",#Malpua is a part of the legacy of the oldest mithais in India. It even finds a mention in Rigveda as ‘Apupa'.(1/2)… https://t.co/dlC4tTgytw,132804,1,138,115
61,"01/01/2023, 12:19:25","#Nature is so smart, it put #medicine inside of the #food: https://t.co/pdUnrICC2X True #healthcare reform starts i… https://t.co/r4vGmXOBef",319444,0,228,68
62,"01/01/2023, 12:19:29",Take care of your body and it will take care of you; how to boost your #immunesystem and improve your overall… https://t.co/lrAwDyGYI1,319444,0,148,58
63,"12/29/2022, 13:43:26",Everyone’s attention is focussed (and quite rightly so) on the cost and availability of food at the moment - timely… https://t.co/kR0vpEUEwh,32272,0,186,48
64,"12/31/2022, 10:02:54","Recipe ➡️ https://t.co/uxFNiuHd29
What could be better than this #bacon and cabbage #recipe made easy and delicious… https://t.co/Ts9DwIsdfm",32429,0,381,65
65,"12/29/2022, 14:52:13",#Diet is like a bank account. Good #food choices are good investments: https://t.co/sfarWA81NM #HealthyLiving… https://t.co/lTkWIknX06,319444,0,171,48
66,"12/29/2022, 17:00:00",Striving to enjoy 5-7 servings of fruit and vegetables a day is a great goal for now and in the new year. Every bit… https://t.co/0lIvzuDurI,129534,0,50,23
