"","X","time","text","user_followers","user_verified","likes","retweets"
"43","64","01/01/2023, 23:58:57","Highkight of last night was discussing how stressful it is to pick the right kind of cat food",233,0,5,0
"44","66","01/01/2023, 23:58:56","7 days till Disney and all I can think about is the amount of food I'm gonna eat. 😭😋😮‍💨",364,0,3,0
"45","67","01/01/2023, 23:58:56","@mstreet221 It's only a Bodega if it has a cat, questionable food safety ratings and sells loosies",573,0,1,0
"46","68","01/01/2023, 23:58:54","@LebergerDavid I think I saw them passing out food.",1204,0,1,0
"47","69","01/01/2023, 23:58:52","@Rhaeiny Happy new year to you too Rainy!!!!! 💕💕💕💕 hope u get to eat fun food and have fun funs!!!!!",4713,0,1,0
"48","70","01/01/2023, 23:58:51","Living in an NYC apartment is hard–living in an NYC apartment with smelly trash is worse. Get those food scraps out… https://t.co/rZYRhDGUkA",146,0,0,0
"49","71","01/01/2023, 23:58:51","How about starting off 2023 by trying to consume each of these 4 food groups every day?
• Fruits
• Vegetables
• Ani… https://t.co/icYWLX2yCn",8634,0,86,9
"50","72","01/01/2023, 23:58:49",".@ALI (https://t.co/ZKCG59M0DL) #AliAlexander:

“Some will go with 1 meal a day.

Others will go with no food, just… https://t.co/NjMiRe60vO",1985,0,0,2
"51","73","01/01/2023, 23:58:47","Just did the sexiest food shop at mum’s house.",11733,0,1,0
"52","74","01/01/2023, 23:58:46","I made it out of my cutie lil turtle shell so prepare for some food kids 🤭",166,0,1,0
"53","75","01/01/2023, 23:58:46","I need some food",573,0,0,0
"54","77","01/01/2023, 23:58:45","@_nanaminto RIGHT i love it all the food / sweets themed skins are so cute 🫡",2483,0,0,0
"55","78","01/01/2023, 23:58:45","woah guys. just found out food gives you energy",157,0,1,0
"56","79","01/01/2023, 23:58:43","@davidaxelrod @SpeakerPelosi American citizens live in deplorable conditions fighting dail For food medicine medica… https://t.co/L3IJVblLK9",770,0,0,0
"57","81","01/01/2023, 23:58:41","My biggest pet peeve is buyin food and it being nasty 🙄🙄🙄🙄",297,0,2,0
"58","83","01/01/2023, 23:58:40","This summer the cartel will continue its attacks on our power grid.  They wish to destroy your food supply.  All re… https://t.co/OT613MfSri",188,0,0,0
"59","84","01/01/2023, 23:58:40","@Subarumanian Most of the fake meat have lots of refined flours &amp; bad seed oils. If you choose real food instead, that’s ok!",38112,0,6,0
"60","85","01/01/2023, 23:58:36","@jccaylen try new food places along the way! i love a good mukbang",839,0,0,0
"61","87","01/01/2023, 23:58:32","@Priya_272 Vikku u r complete fun, already  u r reminding me of a hero who had ur sense of humour, that's bagath si… https://t.co/fYAV7vMRrA",263,0,1,0
"62","88","01/01/2023, 23:58:31","@C___god @Trigg3100 @DailyLoud Actually she posted the plane. And as someone in the comments has shown the make/mod… https://t.co/JtsSXaOBr9",357,0,0,0
"63","89","01/01/2023, 23:58:29","I guess I'm in the minority but the Raiders defense is like asking a chef to make a 5⭐ meal with nothing but canned… https://t.co/NMBfiY66E8",4302,0,72,8
"64","90","01/01/2023, 23:58:29","@EricSpracklen American citizens live in deplorable conditions fighting dail For food medicine medical care childre… https://t.co/M5fdHtVHNy",770,0,1,0
"65","91","01/01/2023, 23:58:28","@Food_2_Die_4 @Lostwanderfound @hotgayscientist @cashohoney @davenewworld_2 the system is made to weed out any “goo… https://t.co/dsluLf0Wr8",94,0,2,0
"66","93","01/01/2023, 23:58:27","Food done, carrot cake entering the oven. House smelling so good.",359,0,0,0
"67","94","01/01/2023, 23:58:25","@LifeWants2Live Um, bus was met by volunteers with, like blankets and food. I think a local church gave them shelte… https://t.co/hiTKti1yFv",250,0,0,0
"68","95","01/01/2023, 23:58:25","@JaniceSchmugge Congress never had big salaries. They used to receive a stipend for food, travel, lodging but only… https://t.co/4bjpO2Y6jD",1805,0,5,1
"69","100","12/29/2022, 23:56:36","Twitter janitors strike--&gt;Elon fires them--&gt; so--&gt; 

""the smell of leftover takeout food and body odor has lingered… https://t.co/FOWXnWBJID",30942,1,17131,3646
"70","102","12/27/2022, 04:11:03","Canadians are going to food banks and asking for government euthanasia. ""It deepens my resolve,"" Trudeau says. And… https://t.co/61n6PAin0Y",243565,1,5673,1794
"71","103","12/26/2022, 16:00:00","We're sending $100 to one person who RTs and follows @Millions.

What’s your favorite breakfast food? Tell us for a… https://t.co/pVLinzbwoG",225868,1,1533,2198
"72","104","12/29/2022, 14:53:00","The minimum wage at $7.25/hr is $1,257 a month.

How exactly do you pay for rent, utilities, food, child care, heal… https://t.co/29bqh1Drgm",303061,1,24445,4705
"73","105","12/31/2022, 23:43:34","i made like a lot of good food in 2022 https://t.co/EA0TyNTOjk",35756,1,52754,3118
"74","106","12/28/2022, 19:03:54","why drive 5 minutes for food when i can order doordash for $80",388780,0,48045,5090
"75","107","12/29/2022, 15:37:24","Red meat is a health food!!

https://t.co/65v4YGdnTc https://t.co/VA8KRb4UUh",185851,0,21259,4591
"76","108","12/26/2022, 16:28:40","You are from Las Vegas, NV. You are used to bland, flavorless, plain, unseasoned, unsavory food such as boiled turk… https://t.co/Sj8jHmvCLI",82900,1,2378,643
"77","109","12/28/2022, 18:15:00","“Anybody earning 30 odd grand a year, which most nurses are, using food banks, then they’ve got something wrong wit… https://t.co/k25aoZ9gsK",57681,1,3739,882
"78","110","12/30/2022, 11:03:00","Stop and think for a moment about this statement. It’s true. From here to that destination is unimaginable violence… https://t.co/tul8M4tPqg",36022,1,4894,1825
"79","111","12/26/2022, 01:17:42","While I was in prison, I was the food procurement clerk. It was my job to work with the first cook to design the da… https://t.co/w8co3XxrFy",32961,0,25406,1869
"80","112","12/30/2022, 08:05:18","this is what happens when you don’t recycle your pizza boxes",5778714,1,3564583,427744
"81","113","12/29/2022, 22:10:36","Andrew Tate’s video in response to Greta Thunberg allowed Romanian authorities to confirm he was in the country, an… https://t.co/WrYMvxlvLC",540573,0,741027,88143
"82","115","12/31/2022, 18:26:16","Sometimes it’s just better to make pizza at home",124506882,1,738564,45714
"83","117","01/01/2023, 16:04:40","Alejandra Caraballo is responsible for the pizza box hoax, the hoax that the Club Q shooter was anti-LGBT, and the… https://t.co/HKb3JnsbFl",1909305,1,28394,6552
"84","118","12/30/2022, 15:56:43","A good pizza will never let you down.",420102,1,106969,8328
"85","119","12/29/2022, 22:18:52","Andrew Tate reportedly inadvertently tipped off Romanian authorities of his presence in Romania with his response v… https://t.co/Lk622kFIdh",1227483,0,114806,6794
"86","120","12/30/2022, 08:17:57","Greta Thunberg reacts to Andrew Tate getting arrested with the help of the pizza box that appeared in his rant vide… https://t.co/K6PwByED5G",540573,0,132764,7962
"87","123","12/30/2022, 00:08:54","When you tip off the cops 
With your big pizza box
That’s Amore",24620,1,37937,3682
