,time,text,user_followers,user_verified,likes,retweets
43,"01/02/2023, 15:05:51","Miraculous Abundance: One Quarter Acre, Two French Farmers, and Enough Food to Feed the World LFOQTRX

https://t.co/qQg4RMBjOh",3,0,0,0
44,"01/02/2023, 15:05:51",@Ekitipikin @Ekitipikin Your food Dey always get much vegetables ✅✅✅ than pepper 🛑🛑🛑,2721,0,0,0
45,"01/02/2023, 15:05:50","230102 skullhong12 insta update

food coma is... very scary😈 https://t.co/PNaTI368IK",2498,0,47,7
46,"01/02/2023, 15:05:50",Indonesian food name be kinky fr.,94,0,1,0
47,"01/02/2023, 15:05:50",@nqrsetwt YOU ALREADY NAMED THE PINK ONE FOOD,247,0,0,0
48,"01/02/2023, 15:05:50","Are sub-Saharan African national food and agriculture policies nutrition-sensitive?

by Roshaany Asirvatham , Suley… https://t.co/K18clWbT6X",571,0,2,0
49,"01/02/2023, 15:05:50","if u don't want people leave the table, don't serve them the food they don't like to eat.",155,0,0,0
50,"01/02/2023, 15:05:49","New York Street Food CE3BGXT

https://t.co/GwiInqyCtu",5,0,0,0
51,"01/02/2023, 15:05:49",What better way to start the new year 2023 than by bringing smiles to the face of these orphaned children who are i… https://t.co/rfqcSCMmGN,351,0,0,0
52,"01/02/2023, 15:05:48","The Shanghai Way: Fascinating Food, Culture, Sights &amp; Travel Tips Through My Western Eyes 6ENXDCV

https://t.co/66CLoBMual",14,0,0,0
53,"01/02/2023, 15:05:48","Urban Guides Canada: An Insider's Guide to Québec City: AN INSIDER'S GUIDE TO THE EXPERIENCES, FOOD AND CULTURE OF… https://t.co/YIKTE7Z2TX",6,0,0,0
54,"01/02/2023, 15:05:44","That one time I was eating alone at Sunway Putra Mall, in tears kinda. A stranger went to my table, told me he paid… https://t.co/buxVbgOYoW",416,0,6,0
55,"01/02/2023, 15:05:43",@WilliamsRuto Mr president please tellers how people can get food  that's what we want food please,20,0,2,0
56,"01/02/2023, 15:05:42",@ericdhartman If you know math which obviously your a scumlican so your handle of numbers is rudimentary.     $15 a… https://t.co/ArR7l96tQw,20,0,0,0
57,"01/02/2023, 15:05:42",i would love to buy food personally https://t.co/7Pi4z4DkJ2,300,0,1,0
58,"01/02/2023, 15:05:40",i have food poisoning for the first time ever why didn’t i know this was hell,868,0,1,0
59,"01/02/2023, 15:05:39",@everydayhardik Good food 🥺❤️,213,0,0,0
60,"01/02/2023, 15:05:38","2023/01/03. Tuesday. Daily Special. 
Biryani~ Dosa~Nandhini set~(Shirakawa)
Biryani ~Idli~Vada~Winter Special Set(D… https://t.co/cwR2qux8FT",2459,0,7,1
61,"01/02/2023, 15:05:38",I knew I had to change from my background I can't afford to get in a food fight I would wanna go to church and home… https://t.co/CeNipTdDcJ,458,0,0,0
62,"01/02/2023, 15:05:38","3️⃣ Finely crush the walnuts. Arrange the baked apple on a plate, sprinkle with crushed walnuts and decorate with f… https://t.co/z8mUD8W4aI",4154,1,9,1
63,"01/02/2023, 15:05:38","Favorite colour : black 
Favorite food : ayam geprek 
Favorite drink : Thai tea, green tea, air putih, Mizone, matc… https://t.co/bR543xMTrg",2,0,0,0
64,"01/02/2023, 15:05:36","This a perfect #recipe for a simple yet yummy dessert! Try cooking baked apples, a beloved dish of Ukrainians 🧵⬇️… https://t.co/Ypfgc8vZ2H",4154,1,55,10
