"","X","time","text","user_followers","user_verified","likes","retweets"
"35","904","01/01/2023, 20:58:37","The Spiritual Consciousness of Animals—A Message for Everyone

https://t.co/y2EP51kvRf

""In sharing this thing we c… https://t.co/1IJ0Yf8IAu",3567,0,0,0
"36","511","01/01/2023, 23:45:17","From Crook to Cook: Platinum Recipes from Tha Boss Dogg's Kitchen
(Snoop Dogg Cookbook, Celebrity Cookbook with Sou… https://t.co/KSXFfpKqgA",24919,0,1,1
"37","7486","01/02/2023, 23:55:53","@RainnRydingHood That is perfect I wud eat that for breakfast lunch dinner nd a snack 😍💘👅🤤",5,0,0,0
"38","1569","01/02/2023, 23:59:18","I hate when I’m hungry and I gotta be the one to go get food .",188,0,0,0
"39","494","01/01/2023, 23:47:37","@Britwench @MaxMurrayTweets I like Keto insomuch as it's the only diet that I've tried that I'm not hungry on.  I l… https://t.co/yUV9ykeNSY",645,0,1,0
"40","7877","12/31/2022, 23:58:28","pizza sounds good but i dont wanna drive and they dont deliver near me.",464,0,0,0
"41","6257","01/02/2023, 15:43:49","@CEOAdam Adam Ahole = 👹👹👹💩 Chocolate Ice creamy 💩 on a #STICK for @CEOAdam ..... What was that Adam?? Its okay UGLY… https://t.co/enb2Nfilur",45,0,0,0
"42","474","01/01/2023, 23:52:52","Copycat Recipes - Making the Most Popular Dishes from Favorite Restaurants at Home : Cheesecake Factory - Applebee'… https://t.co/tKYMdvtjNO",7,0,0,0
"43","4571","01/01/2023, 23:54:07","@georgecarmi Your film taste is delicious",26,0,0,0
"44","7590","12/31/2022, 17:29:09","People of #Leeds, get yourselves to Jino's!
https://t.co/ncoRFJsqnJ
#Leeds #food #Headingley
#Lunch",248,0,0,0
"45","1892","12/31/2022, 21:21:47","What's #Best on https://t.co/4j5NyDnSSR ?
Le Musset - 🇮🇹
https://t.co/QZF5uIYYTM
#lemeilleur #paris #restaurant… https://t.co/RlFCBYzCvT",362,0,1,0
"46","10183","01/04/2023, 22:31:01","SOUPS! 💕💕💕

Here are some of my top soup recipes... it’s hard to pick a favourite but the tomato tortellini and the… https://t.co/p1hKgC2xT4",82164,0,37,7
"47","7407","01/01/2023, 23:50:42","@Kalico_Katt Aaaaa I didn't know you were Canadian! Whereabouts are you now? (if you don't mind me asking! if you'r… https://t.co/EGD1kRCfMQ",348,0,0,0
"48","13226","01/03/2023, 23:59:37","@tootall711 @80s_mad I hoped you get a laugh. I am trying to do grades some thing I hate, and I do mean hate. Then… https://t.co/cHo5hxVysc",23,0,2,0
"49","2433","01/02/2023, 22:31:17","@MickeyGrandpa Lunch #foodie Leftovers from last night. Chicken, veggies and rice. 

I missed menu call. https://t.co/qts3xn5HZG",442,0,1,1
"50","2396","01/02/2023, 23:06:23","Available reservation: Carbone at 2023-01-04 11:30:00 for 2 #nyc #restaurants #foodie",115,0,0,0
"51","8793","01/02/2023, 23:10:53","@VABVOX Vegan and vegetarian options available. Spoonful of Comfort.",4693,0,0,0
"52","10601","01/04/2023, 17:27:01","Cute Molly and her #bigass on CB, #chaturbate #kitty #asshole #freetoshare #pussy #wetholes #yummy #booty #largeass… https://t.co/Swu7VkTB1i",61,0,0,0
